baseline,split,sample_idx,source_time,target_time,target_var,n_land_pixels,mae,rmse,mean_signed_error
persistence,val,31,2024-07-02T13:00:00,2024-07-02T19:00:00,swvl1,351848,3.847412e-03,1.165071e-02,-1.714950e-04
persistence,val,31,2024-07-02T13:00:00,2024-07-02T19:00:00,stl1,351848,3.308067e+00,4.955879e+00,9.172001e-01
persistence,val,31,2024-07-02T13:00:00,2024-07-02T19:00:00,sd,351848,1.648531e-05,2.258964e-04,8.049789e-06
persistence,val,32,2024-07-02T14:00:00,2024-07-02T20:00:00,swvl1,351848,3.814691e-03,1.160126e-02,-1.866838e-04
persistence,val,32,2024-07-02T14:00:00,2024-07-02T20:00:00,stl1,351848,3.309936e+00,4.997691e+00,1.129729e+00
persistence,val,32,2024-07-02T14:00:00,2024-07-02T20:00:00,sd,351848,1.610909e-05,2.227025e-04,7.322366e-06
persistence,val,33,2024-07-02T15:00:00,2024-07-02T21:00:00,swvl1,351848,3.747071e-03,1.136640e-02,-1.961797e-04
persistence,val,33,2024-07-02T15:00:00,2024-07-02T21:00:00,stl1,351848,3.047640e+00,4.767854e+00,1.357482e+00
persistence,val,33,2024-07-02T15:00:00,2024-07-02T21:00:00,sd,351848,1.567051e-05,2.169884e-04,6.292031e-06
persistence,val,34,2024-07-02T16:00:00,2024-07-02T22:00:00,swvl1,351848,4.288112e-03,1.175511e-02,-6.430659e-04
persistence,val,34,2024-07-02T16:00:00,2024-07-02T22:00:00,stl1,351848,2.864662e+00,4.598064e+00,1.347794e+00
persistence,val,34,2024-07-02T16:00:00,2024-07-02T22:00:00,sd,351848,1.595633e-05,2.144762e-04,3.729266e-06
persistence,val,35,2024-07-02T17:00:00,2024-07-02T23:00:00,swvl1,351848,4.260198e-03,1.185712e-02,-7.138872e-04
persistence,val,35,2024-07-02T17:00:00,2024-07-02T23:00:00,stl1,351848,2.416358e+00,3.968257e+00,1.202673e+00
persistence,val,35,2024-07-02T17:00:00,2024-07-02T23:00:00,sd,351848,1.586370e-05,2.143477e-04,1.746607e-06
persistence,val,36,2024-07-02T18:00:00,2024-07-03T00:00:00,swvl1,351848,4.223151e-03,1.191522e-02,-7.672680e-04
