baseline,split,sample_idx,source_time,target_time,target_var,n_land_pixels,mae,rmse,mean_signed_error
climatology,val,29,2024-07-02T11:00:00,2024-07-02T17:00:00,stl1,351848,2.048688e+00,3.018313e+00,-7.321204e-01
climatology,val,29,2024-07-02T11:00:00,2024-07-02T17:00:00,sd,351848,2.272260e-03,1.248350e-02,1.837087e-03
climatology,val,30,2024-07-02T12:00:00,2024-07-02T18:00:00,swvl1,351848,2.613671e-02,4.316599e-02,2.796706e-03
climatology,val,30,2024-07-02T12:00:00,2024-07-02T18:00:00,stl1,351848,2.025489e+00,3.005728e+00,-7.449528e-01
climatology,val,30,2024-07-02T12:00:00,2024-07-02T18:00:00,sd,351848,2.265694e-03,1.245479e-02,1.830865e-03
climatology,val,31,2024-07-02T13:00:00,2024-07-02T19:00:00,swvl1,351848,2.612965e-02,4.314411e-02,2.768884e-03
climatology,val,31,2024-07-02T13:00:00,2024-07-02T19:00:00,stl1,351848,2.028533e+00,3.006666e+00,-7.253810e-01
climatology,val,31,2024-07-02T13:00:00,2024-07-02T19:00:00,sd,351848,2.258695e-03,1.242592e-02,1.824002e-03
climatology,val,32,2024-07-02T14:00:00,2024-07-02T20:00:00,swvl1,351848,2.613190e-02,4.316131e-02,2.735228e-03
climatology,val,32,2024-07-02T14:00:00,2024-07-02T20:00:00,stl1,351848,2.006468e+00,2.957487e+00,-7.225923e-01
climatology,val,32,2024-07-02T14:00:00,2024-07-02T20:00:00,sd,351848,2.251407e-03,1.239672e-02,1.816665e-03
climatology,val,33,2024-07-02T15:00:00,2024-07-02T21:00:00,swvl1,351848,2.611141e-02,4.311701e-02,2.724889e-03
climatology,val,33,2024-07-02T15:00:00,2024-07-02T21:00:00,stl1,351848,1.989908e+00,2.934801e+00,-7.151475e-01
climatology,val,33,2024-07-02T15:00:00,2024-07-02T21:00:00,sd,351848,2.244274e-03,1.236938e-02,1.809144e-03
climatology,val,34,2024-07-02T16:00:00,2024-07-02T22:00:00,swvl1,351848,2.597270e-02,4.283161e-02,2.493393e-03
climatology,val,34,2024-07-02T16:00:00,2024-07-02T22:00:00,stl1,351848,1.935976e+00,2.889699e+00,-7.745823e-01
climatology,val,34,2024-07-02T16:00:00,2024-07-02T22:00:00,sd,351848,2.238141e-03,1.235400e-02,1.802412e-03
climatology,val,35,2024-07-02T17:00:00,2024-07-02T23:00:00,swvl1,351848,2.598650e-02,4.287137e-02,2.423171e-03
climatology,val,35,2024-07-02T17:00:00,2024-07-02T23:00:00,stl1,351848,1.916614e+00,2.854611e+00,-7.515263e-01
climatology,val,35,2024-07-02T17:00:00,2024-07-02T23:00:00,sd,351848,2.232335e-03,1.233475e-02,1.795656e-03
climatology,val,36,2024-07-02T18:00:00,2024-07-03T00:00:00,swvl1,351848,2.632711e-02,4.353045e-02,2.392064e-03
climatology,val,36,2024-07-02T18:00:00,2024-07-03T00:00:00,stl1,351848,1.948072e+00,2.906063e+00,-7.431535e-01
climatology,val,36,2024-07-02T18:00:00,2024-07-03T00:00:00,sd,351848,2.283886e-03,1.264486e-02,1.839699e-03
climatology,val,37,2024-07-02T19:00:00,2024-07-03T01:00:00,swvl1,351848,2.631525e-02,4.351257e-02,2.367251e-03
climatology,val,37,2024-07-02T19:00:00,2024-07-03T01:00:00,stl1,351848,1.942812e+00,2.896644e+00,-7.303376e-01
climatology,val,37,2024-07-02T19:00:00,2024-07-03T01:00:00,sd,351848,2.277859e-03,1.262691e-02,1.832624e-03
climatology,val,38,2024-07-02T20:00:00,2024-07-03T02:00:00,swvl1,351848,2.630941e-02,4.349775e-02,2.363168e-03
climatology,val,38,2024-07-02T20:00:00,2024-07-03T02:00:00,stl1,351848,1.978257e+00,2.952249e+00,-7.323121e-01
climatology,val,38,2024-07-02T20:00:00,2024-07-03T02:00:00,sd,351848,2.272296e-03,1.260956e-02,1.826098e-03
climatology,val,39,2024-07-02T21:00:00,2024-07-03T03:00:00,swvl1,351848,2.629582e-02,4.346790e-02,2.387964e-03
climatology,val,39,2024-07-02T21:00:00,2024-07-03T03:00:00,stl1,351848,1.994217e+00,2.982923e+00,-7.186742e-01
climatology,val,39,2024-07-02T21:00:00,2024-07-03T03:00:00,sd,351848,2.265994e-03,1.258849e-02,1.818855e-03
climatology,val,40,2024-07-02T22:00:00,2024-07-03T04:00:00,swvl1,351848,2.627374e-02,4.342359e-02,2.446097e-03
climatology,val,40,2024-07-02T22:00:00,2024-07-03T04:00:00,stl1,351848,2.009042e+00,3.037674e+00,-7.175033e-01
climatology,val,40,2024-07-02T22:00:00,2024-07-03T04:00:00,sd,351848,2.259310e-03,1.256583e-02,1.811138e-03
climatology,val,41,2024-07-02T23:00:00,2024-07-03T05:00:00,swvl1,351848,2.623164e-02,4.336424e-02,2.537751e-03
climatology,val,41,2024-07-02T23:00:00,2024-07-03T05:00:00,stl1,351848,2.068115e+00,3.123916e+00,-7.151027e-01
climatology,val,41,2024-07-02T23:00:00,2024-07-03T05:00:00,sd,351848,2.251920e-03,1.254097e-02,1.802774e-03
climatology,val,42,2024-07-03T00:00:00,2024-07-03T06:00:00,swvl1,351848,2.617879e-02,4.329068e-02,2.639300e-03
climatology,val,42,2024-07-03T00:00:00,2024-07-03T06:00:00,stl1,351848,2.107064e+00,3.171399e+00,-6.665305e-01
climatology,val,42,2024-07-03T00:00:00,2024-07-03T06:00:00,sd,351848,2.243724e-03,1.251264e-02,1.793487e-03
climatology,val,43,2024-07-03T01:00:00,2024-07-03T07:00:00,swvl1,351848,2.611965e-02,4.319039e-02,2.721815e-03
climatology,val,43,2024-07-03T01:00:00,2024-07-03T07:00:00,stl1,351848,2.131736e+00,3.206051e+00,-6.416479e-01
climatology,val,43,2024-07-03T01:00:00,2024-07-03T07:00:00,sd,351848,2.235320e-03,1.248228e-02,1.783981e-03
climatology,val,44,2024-07-03T02:00:00,2024-07-03T08:00:00,swvl1,351848,2.607286e-02,4.309108e-02,2.785712e-03
climatology,val,44,2024-07-03T02:00:00,2024-07-03T08:00:00,stl1,351848,2.188664e+00,3.265644e+00,-6.528234e-01
climatology,val,44,2024-07-03T02:00:00,2024-07-03T08:00:00,sd,351848,2.227409e-03,1.245312e-02,1.774899e-03
climatology,val,45,2024-07-03T03:00:00,2024-07-03T09:00:00,swvl1,351848,2.604127e-02,4.301633e-02,2.809754e-03
climatology,val,45,2024-07-03T03:00:00,2024-07-03T09:00:00,stl1,351848,2.224504e+00,3.296242e+00,-6.591996e-01
climatology,val,45,2024-07-03T03:00:00,2024-07-03T09:00:00,sd,351848,2.220226e-03,1.242536e-02,1.766550e-03
climatology,val,46,2024-07-03T04:00:00,2024-07-03T10:00:00,swvl1,351848,2.609851e-02,4.308046e-02,2.756749e-03
climatology,val,46,2024-07-03T04:00:00,2024-07-03T10:00:00,stl1,351848,2.235489e+00,3.298944e+00,-7.168785e-01
climatology,val,46,2024-07-03T04:00:00,2024-07-03T10:00:00,sd,351848,2.212782e-03,1.239377e-02,1.766668e-03
climatology,val,47,2024-07-03T05:00:00,2024-07-03T11:00:00,swvl1,351848,2.608816e-02,4.308298e-02,2.740081e-03
climatology,val,47,2024-07-03T05:00:00,2024-07-03T11:00:00,stl1,351848,2.234502e+00,3.267491e+00,-7.242811e-01
climatology,val,47,2024-07-03T05:00:00,2024-07-03T11:00:00,sd,351848,2.206981e-03,1.236764e-02,1.762602e-03
climatology,val,48,2024-07-03T06:00:00,2024-07-03T12:00:00,swvl1,351848,2.623442e-02,4.334506e-02,2.837719e-03
climatology,val,48,2024-07-03T06:00:00,2024-07-03T12:00:00,stl1,351848,2.262034e+00,3.285212e+00,-7.678777e-01
climatology,val,48,2024-07-03T06:00:00,2024-07-03T12:00:00,sd,351848,2.325250e-03,1.278606e-02,1.878193e-03
climatology,val,49,2024-07-03T07:00:00,2024-07-03T13:00:00,swvl1,351848,2.623803e-02,4.336223e-02,2.820754e-03
climatology,val,49,2024-07-03T07:00:00,2024-07-03T13:00:00,stl1,351848,2.252922e+00,3.264760e+00,-7.682367e-01
climatology,val,49,2024-07-03T07:00:00,2024-07-03T13:00:00,sd,351848,2.321428e-03,1.276720e-02,1.875267e-03
climatology,val,50,2024-07-03T08:00:00,2024-07-03T14:00:00,swvl1,351848,2.623831e-02,4.337858e-02,2.810811e-03
climatology,val,50,2024-07-03T08:00:00,2024-07-03T14:00:00,stl1,351848,2.208277e+00,3.221362e+00,-7.831923e-01
climatology,val,50,2024-07-03T08:00:00,2024-07-03T14:00:00,sd,351848,2.317392e-03,1.274790e-02,1.871982e-03
climatology,val,51,2024-07-03T09:00:00,2024-07-03T15:00:00,swvl1,351848,2.622932e-02,4.335788e-02,2.811689e-03
climatology,val,51,2024-07-03T09:00:00,2024-07-03T15:00:00,stl1,351848,2.169548e+00,3.177335e+00,-8.186214e-01
climatology,val,51,2024-07-03T09:00:00,2024-07-03T15:00:00,sd,351848,2.313311e-03,1.272933e-02,1.867235e-03
climatology,val,52,2024-07-03T10:00:00,2024-07-03T16:00:00,swvl1,351848,2.619700e-02,4.330825e-02,2.812389e-03
climatology,val,52,2024-07-03T10:00:00,2024-07-03T16:00:00,stl1,351848,2.146060e+00,3.150167e+00,-8.002415e-01
climatology,val,52,2024-07-03T10:00:00,2024-07-03T16:00:00,sd,351848,2.308651e-03,1.270981e-02,1.861745e-03
climatology,val,53,2024-07-03T11:00:00,2024-07-03T17:00:00,swvl1,351848,2.616668e-02,4.326765e-02,2.821529e-03
climatology,val,53,2024-07-03T11:00:00,2024-07-03T17:00:00,stl1,351848,2.110224e+00,3.117997e+00,-8.025668e-01
climatology,val,53,2024-07-03T11:00:00,2024-07-03T17:00:00,sd,351848,2.303230e-03,1.268793e-02,1.855481e-03
climatology,val,54,2024-07-03T12:00:00,2024-07-03T18:00:00,swvl1,351848,2.615068e-02,4.326204e-02,2.825749e-03
climatology,val,54,2024-07-03T12:00:00,2024-07-03T18:00:00,stl1,351848,2.102015e+00,3.103435e+00,-7.948774e-01
climatology,val,54,2024-07-03T12:00:00,2024-07-03T18:00:00,sd,351848,2.297558e-03,1.266464e-02,1.848957e-03
climatology,val,55,2024-07-03T13:00:00,2024-07-03T19:00:00,swvl1,351848,2.612317e-02,4.323702e-02,2.834719e-03
climatology,val,55,2024-07-03T13:00:00,2024-07-03T19:00:00,stl1,351848,2.096375e+00,3.096692e+00,-7.954896e-01
climatology,val,55,2024-07-03T13:00:00,2024-07-03T19:00:00,sd,351848,2.291209e-03,1.263980e-02,1.842099e-03
climatology,val,56,2024-07-03T14:00:00,2024-07-03T20:00:00,swvl1,351848,2.609934e-02,4.323474e-02,2.819900e-03
climatology,val,56,2024-07-03T14:00:00,2024-07-03T20:00:00,stl1,351848,2.074827e+00,3.055931e+00,-7.963599e-01
climatology,val,56,2024-07-03T14:00:00,2024-07-03T20:00:00,sd,351848,2.284382e-03,1.261378e-02,1.834792e-03
climatology,val,57,2024-07-03T15:00:00,2024-07-03T21:00:00,swvl1,351848,2.609312e-02,4.326337e-02,2.780523e-03
climatology,val,57,2024-07-03T15:00:00,2024-07-03T21:00:00,stl1,351848,2.045071e+00,3.027692e+00,-8.025332e-01
climatology,val,57,2024-07-03T15:00:00,2024-07-03T21:00:00,sd,351848,2.277357e-03,1.258779e-02,1.827296e-03
climatology,val,58,2024-07-03T16:00:00,2024-07-03T22:00:00,swvl1,351848,2.603210e-02,4.324409e-02,2.520213e-03
climatology,val,58,2024-07-03T16:00:00,2024-07-03T22:00:00,stl1,351848,2.030315e+00,3.023928e+00,-8.132623e-01
